the_geom,OBJECTID_1,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp
POINT (-74.09781528199902 40.590548746261604),49,5,Staten Island,502,50,63,24,11,2645,Municipal Facilities,8/6/2014,50 Jefferson Street,50 Jefferson Street,Jefferson Street,Cromwell Avenue and Garretson Avenue,Staten Island,502,Not Applicable,Not Applicable,40.5905,-74.0978,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.90692896161119 40.88008541773331),1925,2,Bronx,208,11,81,34,13,1132,General,3/27/2013,265 West 231st Street,265 West 231st Street,231st Street,Kingsbridge & Corlear Avenue,Bronx,208,BX1,Not Applicable,40.8801,-73.9069,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKLESS 1.0
POINT (-73.95509907045908 40.804945798725996),2004,1,Manhattan,110,9,70,30,13,1966,General,7/22/2013,2167 Frederick Douglass Boulevard,2167 Frederick Douglass Boulevard,Federick Douglass Boulevard,West 116th & West 117th Street,Manhattan,110,Not Applicable,Not Applicable,40.8049,-73.9551,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.88366438384053 40.75101641454663),1170,4,Queens,403,25,39,13,14,2362,Senior Center,2/7/2014,35-24 83rd Street,35-24 83rd Street,83rd Street,35th & 37th Avenue,Queens,403,Not Applicable,Not Applicable,40.751,-73.8837,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.9590936131341 40.70914833683314),2147,3,Brooklyn,301,34,50,18,7,4255,Bus Route,5/30/2019,225 Havemeyer Street,225 Havemeyer Street,Havemeyter Street,Broadway and S 5th Street,Brooklyn,301,B46,Not Applicable,40.7091,-73.9591,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.99156919651305 40.61062108790848),138,3,Brooklyn,311,47,49,22,10,3400,Bus Route,11/3/2016,2006 Bay Ridge Parkway,2006 Bay Ridge Parkway,Bay Ridge Parkway,20th Avenue & 21st Avenue,Brooklyn,311,B4,Not Applicable,40.6106,-73.9916,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.95920417886128 40.69931952960257),772,3,Brooklyn,301,33,50,26,7,3465,Bus Route,10/29/2016,92 Wallabout Street,92 Wallabout Street,Wallabout Street,Franklin Avenue & Kent Avenue,Brooklyn,301,B48,Not Applicable,40.6993,-73.9592,AE,,2,BACKLESS 1.0
POINT (-73.91615375308258 40.84260013140148),1702,2,Bronx,204,14,77,29,15,3478,Municipal Facilities,6/29/2017,1501 Jerome Avenue,1501 Jerome Avenue,Jerome Avenue,172nd Street & Goble Place,Bronx,204,Not Applicable,Not Applicable,40.8426,-73.9162,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.777341654069 40.724489263549025),956,4,Queens,408,23,24,11,5,2840,Municipal Facilities,11/20/2014,189-10 Radnor Road,189-10 Radnor Road,Radnor Road,189th Street and 190th Street,Queens,408,Not Applicable,Not Applicable,40.7245,-73.7773,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.91449276761081 40.65646365531172),388,3,Brooklyn,317,42,58,21,9,2450,Health Care Facilities,4/30/2014,9701 Church Avenue,9701 Church Avenue,Church Avenue,E. 98th Street and Rockaway Parkway,Brooklyn,317,Not Applicable,Not Applicable,40.6565,-73.9145,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
