the_geom,OBJECTID_1,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp
POINT (-73.80188495899348 40.588900570915406),2193,4,Queens,414,31,31,15,5,28,Bus Route,,207 Beach 73rd Street,73-98 Rockaway Beach Blvd,Rockaway Beach Blvd,Aquatic Pl. & B. 73rd St,Queens,0,q22,,40.5889,-73.8019,AE,,1,LEANING BAR
POINT (-73.99292593203424 40.75109799308638),2169,1,Manhattan,105,3,75,31,10,4,SBS,,494 8th Avenue,1 Pennsylvania Plaza,W 34th Street,8th Avenue & 7th Avenue,Manhattan,0,M34,,40.7511,-73.9929,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.77297182577361 40.7675759000782),1294,4,Queens,411,19,26,11,6,1504,BID,1/25/2013,36-01 Bell Blvd,36-01 Bell Blvd,Bell Blvd,36th and 38th Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.7676,-73.773,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.8860972442813 40.74441606465547),2212,4,Queens,404,25,39,16,6,46,SBS,,7901 Broadway,7901 Broadway,Broadway,78th Street & 79th Street,Queens,45,Q53,,40.7444,-73.8861,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.97826533174376 40.57557877639957),20,3,Brooklyn,313,47,46,23,8,3457,Bus Route,12/16/2016,1015 Surf Avenue,1015 Surf Avenue,Surf Avenue,W 8th Street & W 12th Street,Brooklyn,313,B36,Not Applicable,40.5756,-73.9783,AE,,1,BACKLESS 1.0
POINT (-74.0271477347864 40.620514544001836),196,3,Brooklyn,310,43,46,22,11,1491,General,1/4/2013,8714 Fifth Avenue,,5th Avenue,87th and 88th Streets,Brooklyn,310,Not Applicable,Not Applicable,40.6205,-74.0271,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.89736707770413 40.707344968015775),2139,4,Queens,405,30,37,15,6,4099,General,8/2/2018,66-54 Fresh Pond Road,66-54 Fresh Pond Road,Fresh Pond Road,Woodbine Street & Madison Street,Queens,405,Not Applicable,Not Applicable,40.7073,-73.8974,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.784277121277 40.7577284640028),1218,4,Queens,411,19,26,11,6,2546,Municipal Facilities,6/11/2014,196-30 Northern Boulevard,196-30 Northern Boulevard,Northern Boulevard,Francis Lewis Boulevard and 196th Street,Queens,411,Not Applicable,Not Applicable,40.7577,-73.7843,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.93983688337636 40.83014517633388),2086,1,Manhattan,109,9,71,30,13,3188,General,6/1/2016,433 Edgecomb Avenue,433 Edgecomb Avenue,W 155th Street,Amsterdan Avenue & Audubon Avenue,Manhattan,109,BX06,Not Applicable,40.8301,-73.9398,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.90764190856598 40.81645630402308),1550,2,Bronx,201,8,84,29,15,3121,General,8/6/2015,745 E 152nd Street,668 Westchester Avenue,Westchester Avenue,Westchester Avenues & Tinton Avenue,Bronx,201,Not Applicable,Not Applicable,40.8165,-73.9076,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.9080203129994 40.87614520755159),1849,1,Manhattan,208,10,72,31,13,3408,Senior Center,7/3/2017,5365 Broadway,5365 Broadway,Broadway,W. 228th Street & W. 230th Street,Bronx,208,Not Applicable,Not Applicable,40.8761,-73.908,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKED 1.0
POINT (-73.89229257704223 40.89585670424556),1878,2,Bronx,226,11,81,34,16,3600,Bus Route,3/11/2017,Van Cortland Park,5983 Broadway,Broadway,Manhattan College Parkway & W 242nd Street,Bronx,208,BX09,Not Applicable,40.8959,-73.8923,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.74880439577309 40.76866906951404),2045,4,Queens,411,19,26,11,3,2466,Plaza,8/19/2014,23421 41st Avenue,23421 41st Avenue,41st Avenue,235th Street,Queens,411,Not Applicable,Not Applicable,40.7687,-73.7488,X,AREA OF MINIMAL FLOOD HAZARD,3,BACKLESS 1.0
POINT (-73.94232148475498 40.6712804609968),531,3,Brooklyn,308,35,43,25,9,3149,AAR,10/1/2015,230 Kingston Ave,1093 St. Johns Place,St. Johns Place,St. Johns Place & Sterling Place,Brooklyn,308,Not Applicable,Not Applicable,40.6713,-73.9423,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.75318163904649 40.60298875595714),96,4,Queens,414,31,23,10,5,2446,Plaza,12/9/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.603,-73.7532,X,AREA OF MINIMAL FLOOD HAZARD,1,BACKED 1.0
POINT (-73.93744711660356 40.70187958651581),796,3,Brooklyn,304,34,53,18,7,1040,Senior Center,9/13/2012,869 Flushing Avenue,869 Flushing Avenue,Flushing Avenue,Forrest Street and Humboldt Street,Brooklyn,301,B57,Not Applicable,40.7019,-73.9374,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.88652126631726 40.75533666727403),1189,4,Queens,403,25,34,13,14,1976,General,9/25/2013,80-24 Northern Boulevard,80-24 Northern Boulevard,Northern Boulevard,80th & 81st Street,Queens,403,Not Applicable,Not Applicable,40.7553,-73.8865,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.71696179273798 40.74425138116935),1097,4,Queens,413,23,24,11,3,2202,General,12/9/2013,253-22 Union Turnpike,253-22 Union Turnpike,Union Turnpike,Little Neck Parkway and 254th Street,Queens,413,Not Applicable,Not Applicable,40.7443,-73.717,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.86214391604496 40.73243440108169),996,4,Queens,406,29,35,16,6,3579,Bus Route,1/21/2017,95-40 62nd Drive,95-40 62nd Drive,62nd Drive,97th Street & Junction Boulevard,Queens,404,Not Applicable,Not Applicable,40.7324,-73.8621,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKLESS 2.0
POINT (-74.00783640742581 40.704744394517334),817,1,Manhattan,101,1,65,26,10,2032,General,8/8/2013,95 Wall Street,95 Wall Street,Gouverneur Street,Front Street and Water Street,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.7047,-74.0078,AE,,1,BACKLESS 1.0
POINT (-73.9913541526133 40.61810074246767),176,3,Brooklyn,311,38,49,22,10,3789,Senior Safety,1/8/2018,6628 18th Avenue,6628 18th Avenue,18th Avenue,67th Street & 66th Street,Brooklyn,311,Not Applicable,Not Applicable,40.6181,-73.9914,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.83525607506856 40.707282838035674),840,4,Queens,409,29,27,14,6,830,General,9/12/2012,116-29 Metropolitan Avenue,116-29 Metropolitan Avenue,Metropolitan Avenue,83rd Avenue & Grosvenor Avenue,Queens,409,Q54,Not Applicable,40.7073,-73.8353,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.8979143638126 40.699064958390615),769,4,Queens,405,34,38,12,7,2922,Municipal Facilities,11/19/2014,74-02 Forest Avenue,74-02 Forest Avenue,Forest Avenue,Summerfield Street & Decatur Street,Queens,405,Q39,Not Applicable,40.6991,-73.8979,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.9925372501662 40.72384956615854),953,1,Manhattan,103,1,65,26,7,2999,Municipal Facilities,1/20/2015,273 Bowery,273 Bowery,Bowery,East Houston Street & Stanton Street,Manhattan,103,M103,Not Applicable,40.7238,-73.9925,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.91755807889668 40.743279480854426),1072,4,Queens,402,26,37,12,14,3336,General,7/7/2016,47-01 Queens Boulevard,47-01 Queens Boulevard,Queens Boulevard,47th Street & 48th Street,Queens,402,Not Applicable,Sunnyside Shines,40.7433,-73.9176,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.8638765875424 40.86439470888237),1806,2,Bronx,211,13,80,34,14,3128,General,1/6/2015,2550 Boston Road,2550 Boston Road,Boston Road,Wallace Avenue & Barnes Avenue,Bronx,211,Not Applicable,Not Applicable,40.8644,-73.8639,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.84247973671287 40.68042529795424),607,4,Queens,410,32,38,15,8,2953,Municipal Facilities,12/22/2014,96-05 Rockaway Boulevard,96-05 Rockaway Boulevard,Rockaway Boulevard,97th Street & Liberty Avenue,Queens,410,Q7,Not Applicable,40.6804,-73.8425,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKLESS 1.0
POINT (-73.96673756635245 40.6826397485299),627,3,Brooklyn,302,35,57,25,8,2050,General,7/9/2013,520 Clinton Avenue,520 Clinton Avenue,Clinton Avenue,Atlantic Avenue and Fulton Street,Brooklyn,302,Not Applicable,Not Applicable,40.6826,-73.9667,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.98072647075506 40.68111000573049),615,3,Brooklyn,306,33,52,25,7,2180,General,9/18/2013,110 4th Avenue,110 4th Avenue,4th Avenue,Warren Street and Baltic Avenue,Brooklyn,306,Not Applicable,Not Applicable,40.6811,-73.9807,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 2.0
POINT (-73.91106357753014 40.775832727695914),1327,4,Queens,401,22,36,12,14,3514,General,11/30/2016,22-16 31st Street,22-16 31st Street,31st Street,Ditmars Blvd & 23rd Avenue,Queens,401,Not Applicable,Not Applicable,40.7758,-73.9111,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.91010318769986 40.84385653514166),1708,2,Bronx,204,15,86,33,15,2571,Municipal Facilities,7/14/2014,155 E. 173rd Street,155 E. 173rd Street,E. 173rd Street,Morris Avenue and Selwyn Avenue,Bronx,204,Not Applicable,Not Applicable,40.8439,-73.9101,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.96806449308735 40.63513317918023),260,3,Brooklyn,312,40,44,17,9,3394,Bus Route,10/29/2016,3714 18th Avenue,3714 18th Avenue,18th Avenue,Coney Island Avenue & E 9th Street,Brooklyn,314,B8,Not Applicable,40.6351,-73.9681,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.92410261933293 40.74425096300763),1107,4,Queens,402,26,37,12,14,2515,BID,7/25/2014,43-45 40th Street,43-45 40th Street,40th Street,Queens Boulevard & 43rd Avenue,Queens,402,Not Applicable,Sunnyside Shines,40.7443,-73.9241,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.78481319548793 40.595159246514086),2234,4,Queens,414,31,31,10,5,68,sbs,2/5/2019,411 Beach 54th Street,411 Beach 54th Street,Beach Channel Drive,Beach 54th Street & Beach 55th Street,Queens,55,q53,,40.5952,-73.7848,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,LEANING BAR
POINT (-73.99152555299669 40.765016732959076),1269,1,Manhattan,104,3,75,27,10,2549,Municipal Facilities,6/25/2014,742 10th Avenue,742 10th Avenue,10th Avenue,West 50th Street & West 51st Street,Manhattan,104,Not Applicable,Not Applicable,40.765,-73.9915,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.73182183959463 40.69265440820053),724,4,Queens,413,27,33,14,5,3624,General,5/13/2017,22901 Linden Blvd,22901 Linden Blvd,Linden Blvd,229th Street & 230th Street,Queens,413,Not Applicable,Not Applicable,40.6927,-73.7318,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.93995115053987 40.70884153226805),852,3,Brooklyn,301,34,53,18,7,2724,Municipal Facilities,10/2/2014,207 Bushwick Avenue,207 Bushwick Avenue,Bushwick Avenue,Scholes Street & Meserole Street,Brooklyn,301,Not Applicable,Not Applicable,40.7088,-73.94,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.91833224979523 40.70291942193679),802,3,Brooklyn,304,37,53,18,7,2392,Senior Center,3/6/2014,319 Stanhope Street,319 Stanhope Street,Stanhope Street,Irving Avenue & Wyckoff Avenue,Brooklyn,304,Not Applicable,Not Applicable,40.7029,-73.9183,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.84292209692282 40.67198175143585),533,4,Queens,410,32,23,15,8,4227,Bus Route,1/31/2019,137-05 Cross Bay Blvd,137-05 Cross Bay Blvd,Cross Bay Blvd,Pitkin Avenue & 149th Avenue,Queens,410,Q52,Not Applicable,40.672,-73.8429,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKLESS 2.0
POINT (-73.85479859222623 40.83751571355668),1686,2,Bronx,209,18,87,32,14,2710,Municipal Facilities,8/5/2014,2120 Saint Raymonds Avenue,1504 Olmstead Avenue,Olmstead Avenue,Saint Raymonds Avenue & Starling Avenue,Bronx,209,Not Applicable,Not Applicable,40.8375,-73.8548,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.8988501839498 40.70944534027803),855,4,Queens,405,30,37,15,6,628,Bus Route,4/12/2013,65-06 Fresh Pond Road,65-06 Fresh Pond Road,Fresh Pond Road,Linden Avenue & Gates Avenue,Queens,405,Q58,Not Applicable,40.7094,-73.8989,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.92679437612091 40.61366158895654),148,3,Brooklyn,318,46,59,19,8,3630,General,5/20/2017,2325 Flatbush Avenue,2325 Flatbush Avenue,Flatbush Avenue,Utica Avenue & E. 49th Street,Brooklyn,318,B41,Not Applicable,40.6137,-73.9268,X,AREA OF MINIMAL FLOOD HAZARD,3,BACKLESS 2.0
POINT (-73.96886487989934 40.677317079902004),581,3,Brooklyn,308,35,52,20,9,1869,BID,4/10/2013,653 Vanderbilt Avenue,653 Vanderbilt Avenue,Vanderbilt Avenue,Park Place & Prospect Place,Brooklyn,308,Not Applicable,Vanderbilt Avenue,40.6773,-73.9689,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.00096124168567 40.61365996677039),150,3,Brooklyn,311,43,49,22,10,2352,General,2/11/2014,1659 78th Street,1659 78th Street,78th Street,16th Avenue & Utrecht Avenue,Brooklyn,311,Not Applicable,Not Applicable,40.6137,-74.001,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.98223639515791 40.747468283767915),2172,1,Manhattan,106,2,75,28,12,7,SBS,,61 E 34th Street,61 E 34th Street,E 34th Street,Park Avenue & Madison Avenue,Manhattan,0,,,40.7475,-73.9822,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.99083463555583 40.663966521510076),447,3,Brooklyn,307,39,52,20,7,3610,BID,3/7/2017,596-594 5th Avenue,596 5th Avenue,5th Avenue,Prospect Avenue & 16th Avenue,Brooklyn,307,Not Applicable,Park Slope 5th Avenue,40.664,-73.9908,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.88232044037566 40.75576994074846),1195,4,Queens,403,25,34,13,14,2004,General,9/27/2013,85-10 Northern Boulevard,85-10 Northern Boulevard,Northern Boulevard,85th & 86th Street,Queens,403,Q66,Not Applicable,40.7558,-73.8823,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.9026435217016 40.668053229477025),489,3,Brooklyn,316,42,55,19,8,2962,Municipal Facilities,1/2/2015,436 Sutter Avenue,276 Junius Street,Junius Street,Sutter Avenue & Blake Avenue,Brooklyn,316,B14,Not Applicable,40.6681,-73.9026,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.94746874478247 40.77565407924988),1325,1,Manhattan,108,5,76,28,12,1997,General,7/10/2013,1625 York Avenue,1625 York Avenue,York Avenue,E 85th & E 86th Street,Manhattan,108,M31,Not Applicable,40.7757,-73.9475,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 2.0
POINT (-73.86790878888183 40.72323235780234),950,4,Queens,406,29,28,15,6,4222,Bus Route,1/29/2019,63-65 Woodhaven Blvd,63-65 Woodhaven Blvd,Woodhaven Blvd,Everton Street & Penelope Avenue,Queens,406,Q52,Not Applicable,40.7232,-73.8679,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.89389174030616 40.74013345591716),1043,4,Queens,402,26,34,12,6,3543,Bus Route,12/9/2016,70-01 Queens Boulevard,70-01 Queens Boulevard,Queens Boulevard,70th Street & 74th Street,Queens,402,Q60,Not Applicable,40.7401,-73.8939,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.97764536900428 40.73662018834067),1027,1,Manhattan,106,4,74,27,12,3353,Municipal Facilities,6/3/2016,423 E 23rd Street,423 E 23rd Street,E 23rd Street,1st Avenue & Asser Levy Place,Manhattan,106,Not Applicable,Not Applicable,40.7366,-73.9776,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,BACKED 1.0
POINT (-73.84587432013842 40.78438004440527),1387,4,Queens,407,19,27,11,14,1412,General,4/19/2013,14-60 College Point Blvd,14-60 College Point Blvd,College Point Blvd,14th Avenue & 15th Avenue,Queens,407,Not Applicable,Not Applicable,40.7844,-73.8459,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.9087647382563 40.66271291200755),434,3,Brooklyn,316,41,55,20,9,3703,Senior Safety,6/20/2017,265 Livonia Avenue,707 Rockaway Avenue,Rockaway Avenue,Rockaway Avenue & Watkins Street,Brooklyn,316,Not Applicable,Not Applicable,40.6627,-73.9088,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 2.0
POINT (-73.9590936131341 40.70914833683314),1890,3,Brooklyn,301,34,50,18,7,4255,Bus Route,5/30/2019,225 Havemeyer Street,225 Havemeyer Street,Havemeyer Street,Broadway and S 5th Street,Brooklyn,301,B46,Not Applicable,40.7091,-73.9591,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.74602991424273 40.69628438974749),749,4,Queens,413,27,33,14,5,3621,General,5/13/2017,206-20 Linden Blvd,206-20 Linden Blvd,Linden Blvd,207th Street & Francis Lewis Blvd,Queens,413,Not Applicable,Not Applicable,40.6963,-73.746,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.88407803822392 40.733335864303776),999,4,Queens,404,25,30,16,6,1805,General,2/14/2013,83-07 Grand Avenue,83-07 Grand Avenue,Grand Avenue,Calamus Avenue and 83rd Street,Queens,404,Q58,Not Applicable,40.7333,-73.8841,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.93743204995427 40.800153222350936),1482,1,Manhattan,111,8,68,30,13,2110,Community Health Centers,8/15/2013,216 East 120th Street,216 East 120th Street,East 120th Street,2nd and 3rd Avenues,Manhattan,111,Not Applicable,Not Applicable,40.8002,-73.9374,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-74.10008038789746 40.58009419522488),35,5,Staten Island,502,50,64,24,11,1675,Bus Route,1/29/2013,2051 Hylan Boulevard,2051 Hylan Boulevard,Hylan Boulevard,Adams Avenue & Hunter Avenue,Staten Island,502,S78,Not Applicable,40.5801,-74.1001,AE,,2,BACKLESS 1.0
POINT (-73.91280581511987 40.82308879567001),1600,2,Bronx,203,17,79,32,15,796,General,1/10/2013,843 Elton Avenue,843 Elton Avenue,East 160th Street,East 159th and 160th Streets,Bronx,203,Not Applicable,Not Applicable,40.8231,-73.9128,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.98067157406649 40.61350226383484),147,3,Brooklyn,311,44,48,17,10,3060,General,2/13/2017,2225 65th Street,2225 65th Street,65th Street,Bay Parkway & 23rd Avenue,Brooklyn,311,Not Applicable,Not Applicable,40.6135,-73.9807,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.00117554415723 40.72740496935414),967,1,Manhattan,102,3,66,26,10,819,General,9/28/2012,109 West Houston Street,109 West Houston Street,West Houston Street,Sullivan and Thompson Streets,Manhattan,102,M21,Not Applicable,40.7274,-74.0012,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKLESS 1.0
POINT (-73.89516935324639 40.661122566471434),418,3,Brooklyn,305,42,60,19,8,2379,General,3/25/2014,620-624 Georgia Avenue,620 Georgia Avenue,Georgia Avenue,New Lots Avenue & Newport Street,Brooklyn,305,Not Applicable,Not Applicable,40.6611,-73.8952,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.88373564362394 40.755835361441875),1193,4,Queens,403,25,34,13,14,1980,General,9/26/2013,83-17 Northern Boulevard,83-17 Northern Boulevard,Northern Boulevard,83rd & 84th Street,Queens,403,Not Applicable,Not Applicable,40.7558,-73.8837,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.89717766190195 40.862273157905065),2164,2,Bronx,205,15,78,33,15,1194,BID,10/22/2012,South side Overpass at East Fordham Rd and Grand Concourse,"40°51'44.5""N 73°53'49.8""W",East Fordham Road,Grand Concourse East and West,Bronx,205,Not Applicable,Fordham Road,40.8623,-73.8972,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.99202495350589 40.57347852985736),13,3,Brooklyn,313,47,46,23,8,4003,Bus Route,2/7/2018,2563 Surf Avenue,2563 Surf Avenue,Surf Avenue,West 25th Street & West 27th Street,Brooklyn,313,B36,Not Applicable,40.5735,-73.992,AE,,1,BACKLESS 2.0
POINT (-73.93126357796332 40.85288970051066),1763,1,Manhattan,112,10,72,31,13,3631,Bus Route,3/25/2017,1539 St. Nicholas Avenue,1539 St. Nicholas Avenue,St. Nicholas Avenue,W. 187th Street & W. 186th Street,Manhattan,112,M3,Not Applicable,40.8529,-73.9313,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 2.0
POINT (-73.82877880566615 40.756970928191805),1207,4,Queens,407,20,40,16,6,495,Bus Route,6/20/2012,41-51 Main Street (136-05 Sanford Avenue),41-57 Main Street,Main Street,Sanford Avenue and 41st Road,Queens,407,Q44,Not Applicable,40.757,-73.8288,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.83193749338338 40.70095299850252),789,4,Queens,409,29,27,10,5,2295,General,12/9/2013,118-14 Hillside Avenue,118-14 Hillside Avenue,Hillside Avenue,Lefferts Blvd & Babbage Street,Queens,409,Not Applicable,Not Applicable,40.701,-73.8319,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.88642383354997 40.74445982765391),1109,4,Queens,404,25,39,16,6,3967,Bus Route,2/14/2018,7808 Broadway,7808 Broadway,Broadway,78th Street & 79th Street,Queens,404,Q53,Not Applicable,40.7445,-73.8864,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 2.0
POINT (-73.986178590381 40.74001249396322),1044,1,Manhattan,105,2,74,28,12,2210,BID,12/4/2013,100 E 23rd Street,100 E 23rd Street,E 23rd Street,Lexington Avenue and Park Avenue South,Manhattan,105,Not Applicable,Flatiron/23rd Street Partnership,40.74,-73.9862,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.95164550376691 40.77821249557495),1349,1,Manhattan,108,5,76,28,12,3851,General,7/5/2017,1659 2nd Avenue,1659 2nd Avenue,2nd Avenue,E 86th Street & E 87th Street,Manhattan,108,Not Applicable,Not Applicable,40.7782,-73.9516,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 2.0
POINT (-73.9590936131341 40.70914833683314),2143,3,Brooklyn,301,34,50,18,7,4255,Bus Route,5/30/2019,225 Havemeyer Street,225 Havemeyer Street,Havemeyter Street,Broadway and S 5th Street,Brooklyn,301,B46,Not Applicable,40.7091,-73.9591,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.8701329154331 40.73385860928499),1006,4,Queens,404,25,35,16,6,2613,General,8/4/2014,90-15 Queens Boulevard,90-15 Queens Boulevard,59th Avenue,57th & 59th Avenue,Queens,404,Not Applicable,Not Applicable,40.7339,-73.8701,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.93951317852007 40.8156986067421),1548,1,Manhattan,110,9,70,30,13,1657,Senior Center,3/8/2013,540 Lenox Avenue,540 Lenox Avenue,Lenox Avenue,East 138th Street & East 137th Street,Manhattan,110,M07,Not Applicable,40.8157,-73.9395,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKLESS 1.0
POINT (-73.98822471761918 40.67118049529936),526,3,Brooklyn,306,39,52,20,7,2349,General,1/14/2014,426 4th Avenue,426 4th Avenue,4th Avenue,7th & 8th Street,Brooklyn,306,Not Applicable,Not Applicable,40.6712,-73.9882,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKED 1.0
POINT (-73.98237419279027 40.67801370975745),585,3,Brooklyn,306,39,52,25,7,2457,General,5/21/2014,191 4th Avenue,191 4th Avenue,Sackett Street,4th Avenue and 5th Avenue,Brooklyn,306,Not Applicable,Not Applicable,40.678,-73.9824,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.94957211989357 40.65009491375297),337,3,Brooklyn,317,40,42,21,9,3050,General,11/28/2014,1480 Nostrand Avenue,1480 Nostrand Avenue,Nostrand Avenue,Church Avenue & Erasmus Street,Brooklyn,317,B44,Not Applicable,40.6501,-73.9496,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.97160287743567 40.64900862445355),2059,3,Brooklyn,314,40,42,21,9,2892,Municipal Facilities,12/30/2014,397A Coney Island Avenue,397A Coney Island Avenue,Coney Island Avenue,Caton Avenue & Kermit Place,Brooklyn,314,B68,Not Applicable,40.649,-73.9716,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.88872504998662 40.74921729984124),1148,4,Queens,403,25,39,13,14,1827,General,6/18/2013,77-02 37th Avenue,77-02 37th Avenue,37th Avenue,77th Street & 78th Street,Queens,403,Not Applicable,Not Applicable,40.7492,-73.8887,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.92389372953974 40.686981313215206),653,3,Brooklyn,303,41,56,25,8,4074,General,8/7/2018,90 Ralph Avenue,956 Putnam Avenue,Putnam Avenue,Ralph Avenue & Patchen Avenue,Brooklyn,303,Not Applicable,Not Applicable,40.687,-73.9239,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.90824235173432 40.66866070077769),499,3,Brooklyn,316,41,55,20,9,2644,General,9/9/2014,50 Belmont Avenue,50 Belmont Avenue,Belmont Avenue,Osborn Street and Watkins Street,Brooklyn,316,Not Applicable,Not Applicable,40.6687,-73.9082,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.87314420872319 40.751244640261184),1166,4,Queens,403,21,34,13,14,3941,Senior Safety,2/6/2018,94-01 37th Avenue,3551 94th Street,94th Street,35th Avenue & 37th Avenue,Queens,403,Not Applicable,Not Applicable,40.7512,-73.8731,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.02532004495885 40.629894131716824),232,3,Brooklyn,310,43,64,22,11,2749,General,8/3/2016,7601 4th Avenue,7601 4th Avenue,4th Avenue,76th Street & 77th Street,Brooklyn,310,Not Applicable,Not Applicable,40.6299,-74.0253,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
